Banco,Data operação,Tipo de ativo,Nome ativo,C/V,Preço operação,Qnt,Valor total,Preço médio,Lucro,Imposto,Observação,F sup
Inter,02/05/2024,FII,HGPO11,C,"R$ 301,52",2,"R$ 603,04",,,,,"R$ 0,00"
Inter,02/05/2024,Ação,ITSA4,C,"9,73",31,"R$ 301,63",,,,,"R$ 0,00"
Inter,02/05/2024,Tesouro,Selic 2029,C,"R$ 14.688,59","0,07","R$ 1.028,20",,,,,"R$ 0,00"
Nuinvest,30/04/2024,Ação,CMIG4,C,"R$ 0,00",144,"R$ 0,00",,,,Desdobramento de 30%,"R$ 0,00"
Inter,30/04/2024,Ação,CMIG4,C,"R$ 0,00",29,"R$ 0,00",,,,,"R$ 0,00"
Nuinvest,26/04/2024,Ação,SLCE3,V,"R$ 18,81",5,"R$ 94,05","R$ 19,48","-R$ 3,35","-R$ 0,50",,"R$ 97,40"
Inter,26/04/2024,Tesouro,Selic 2029,C,"R$ 14.665,00","0,04","R$ 586,60",,,,,"R$ 0,00"
Inter,26/04/2024,Ação,ITSA4,C,"R$ 9,72",21,"R$ 204,12",,,,,"R$ 0,00"
Inter,26/04/2024,Ação,ROMI3,C,"R$ 10,41",29,"R$ 301,89",,,,,"R$ 0,00"
Nuinvest,20/04/2024,Ação,GGBR4,C,"R$ 0,00",52,"R$ 0,00",,,,Desdobramento de 20%,"R$ 0,00"
Inter,20/04/2024,Ação,GGBR4,C,"R$ 0,00",10,"R$ 0,00",,,,,"R$ 0,00"
Nuinvest,15/04/2024,Tesouro,Prefixado 2029,V,"R$ 619,19","1,03","R$ 637,77","R$ 551,13","R$ 70,10",,DARF Março,"R$ 567,66"
Nuinvest,15/04/2024,USD,SPXI11,V,"R$ 284,29",3,"R$ 852,87","R$ 225,51","R$ 176,34","R$ 26,45",,"R$ 676,53"
Nuinvest,15/04/2024,Ação,BBDC4,V,"R$ 13,99",36,"R$ 503,64","R$ 15,86","-R$ 67,32","-R$ 10,10",Ações : Isento,"R$ 570,96"
Nuinvest,15/04/2024,Ação,SUZB3,V,"R$ 60,94",7,"R$ 426,58","R$ 51,79","R$ 64,06","R$ 9,61",ETF :,"R$ 362,52"
Nuinvest,15/04/2024,FII,HGLG11,V,"R$ 165,32",3,"R$ 495,96","R$ 161,98","R$ 10,01","R$ 2,00","R$ 78,56","R$ 485,95"
Nuinvest,15/04/2024,FII,HSML11,V,"R$ 98,04",2,"R$ 196,08","R$ 92,80","R$ 10,48","R$ 2,10",FII,"R$ 185,60"
Nuinvest,10/04/2024,FII,BODB11,C,"R$ 9,39",213,"R$ 2.000,07",,,,"R$ 4,10","R$ 0,00"
Nuinvest,10/04/2024,Tesouro,LFTS11,C,"R$ 118,32",13,"R$ 1.538,16",,,,,"R$ 0,00"
Nuinvest,10/04/2024,USD,SPXI11,V,"R$ 283,41",6,"R$ 1.700,46","R$ 225,51","R$ 347,40","R$ 52,11",,"R$ 1.353,06"
Nuinvest,10/04/2024,Ação,VALE3,C,"R$ 61,54",13,"R$ 800,02",,,,,"R$ 0,00"
Nuinvest,10/04/2024,Ação,SLCE3,V,"R$ 19,69",51,"R$ 1.004,19","R$ 19,48","R$ 10,71","R$ 1,61",,"R$ 993,48"
Nuinvest,10/04/2024,Ação,BBDC4,V,"R$ 14,40",104,"R$ 1.497,60","R$ 15,86","-R$ 151,84","-R$ 22,78",,"R$ 1.649,44"
Inter,05/04/2024,FII,TRXF11,C,"R$ 109,19",7,"R$ 764,33",,,,,"R$ 0,00"
Inter,05/04/2024,FII,CLIN11,C,"R$ 98,38",1,"R$ 98,38",,,,,"R$ 0,00"
Inter,05/04/2024,FII,BODB11,C,"R$ 9,38",48,"R$ 450,24",,,,,"R$ 0,00"
Inter,02/04/2024,FII,BODB11,C,"R$ 9,36",49,"R$ 458,64",,,,,"R$ 0,00"
Inter,02/04/2024,FII,CPTI11,V,"R$ 100,55",9,"R$ 904,95","R$ 100,00","R$ 4,95","R$ 0,99",Isento,"R$ 900,00"
Nuinvest,02/04/2024,FII,BODB11,C,"R$ 9,37",214,"R$ 2.005,18",,,,,"R$ 0,00"
Nuinvest,02/04/2024,FII,CLIN11,C,"R$ 96,72",42,"R$ 4.062,24",,,,,"R$ 0,00"
Nuinvest,02/04/2024,FII,CPTI11,V,"R$ 100,51",41,"R$ 4.120,91","R$ 99,72","R$ 32,39","R$ 6,48",Isento,"R$ 4.088,52"
Inter,01/04/2024,USD,IBIT,C,"R$ 198,16",6,"R$ 1.188,97",,,,,"R$ 0,00"
